Scenarios,index1,index2,index3,index4,index5,index6,index7,index8,index1_cf,index2_cf,index3_cf,index4_cf,index5_cf,index6_cf,index7_cf,index8_cf,t
np_10,188.1,315.2,145,525.3,558,642.5,161.9,774,6642.69507,11131.19344,5120.6315,18550.81191,19705.6026,22689.69475,5717.44993,27333.5778,
np_25,258.3,433.9,202.8,727,772,888.1,223.6,1066.8,9121.78701,15323.04833,7161.82116,25673.7869,27262.9484,31362.98507,7896.36692,37673.72196,
np_50,317.1,533.3,251.6,896.6,952.2,1095,275.6,1313.1,11198.29137,18833.32951,8885.17852,31663.16002,33626.65734,38669.5965,9732.73132,46371.73257,
np_100,382.1,643.6,306,1086,1153.1,1325.5,333.4,1587,13493.74687,22728.54092,10806.2982,38351.7642,40721.38057,46809.63485,11773.92098,56044.4289,
1993_10,187.1,310.4,125.4,498,531.4,614.9,161.9,744.2,6607.38037,10961.68288,4428.46338,17586.7206,18766.23158,21715.00903,5717.44993,26281.19974,
1993_25,256.9,428.7,174.5,690.5,735.3,849.8,223.6,1025,9072.34643,15139.41189,6162.41515,24384.80035,25966.89891,30010.43206,7896.36692,36197.5675,
1993_50,315.4,527.3,215.7,851.1,906.5,1047.5,275.6,1261.6,11138.25638,18621.44131,7617.38079,30056.34117,32012.77555,36992.14825,9732.73132,44553.02552,
1993_100,380,636.3,261.4,1030.3,1097.2,1267.8,333.4,1525,13419.586,22470.74361,9231.26258,36384.73541,38747.28884,44771.97666,11773.92098,53854.9175,
1999_10,174,296.5,113.1,479.2,510.4,590.2,154.4,713.4,6144.7578,10470.80855,3994.09257,16922.80424,18024.62288,20842.73594,5452.58968,25193.50698,
1999_25,238.9,409.3,157.5,661.6,704.3,813.3,212.8,979.9,8436.68183,14454.30671,5562.06525,23364.20552,24872.14321,28721.44551,7514.96816,34604.87453,
1999_50,293.1,503.2,194.6,815.7,868.2,1001.7,261.9,1205.6,10350.73857,17770.35704,6872.24062,28806.20079,30660.22254,35374.73499,9248.91993,42575.40232,
1999_100,353.3,607,236.6,988.7,1051.8,1212.5,317.2,1458,12476.68351,21436.0229,8355.45802,34915.64389,37144.00146,42819.07375,11201.82284,51488.8326,
2005_10,143.5,260.9,94.3,422.9,454.5,534.7,127.3,635.8,5067.65945,9213.60523,3330.17621,14934.58663,16050.53115,18882.77009,4495.56131,22453.08626,
2005_25,196.1,359.1,130.3,580.6,623.9,733.5,177,868.4,6925.21267,12681.50877,4601.50541,20503.71482,22032.84133,25903.33245,6250.7019,30667.28548,
2005_50,240.3,441.1,160.2,715,768.2,902.9,219,1067.2,8486.12241,15577.31417,5657.41494,25250.0105,27128.75254,31885.64263,7733.9193,37687.84784,
2005_100,289.9,532.9,194.1,867.9,931.7,1093.8,265.9,1291.4,10237.73153,18819.20363,6854.58327,30649.62813,32902.70599,38627.21886,9390.17873,45605.40358,
2008_10,133.7,232.9,93.6,395.2,427.4,499.6,125,603.4,4721.57539,8224.79363,3305.45592,13956.36944,15093.50278,17643.22412,4414.3375,21308.88998,
2008_25,182.4,319.7,129.1,542.1,586.3,684.6,173.7,823,6441.40128,11290.10959,4559.12777,19144.09887,20705.00861,24176.44362,6134.16339,29063.9981,
2008_50,223.3,392.2,158.6,667.6,722,843.4,214.8,1012.3,7885.77251,13850.42534,5600.91142,23576.09372,25497.2134,29784.41798,7585.59756,35749.07081,
