OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
15725,07020009,070801040101,Blue Earth,South Edwards River,Dugout Creek-South Edwards River,Washington,Washington County,Whittemore,Whittemore city,, 
16039,07040008,070801010102,Root,Johnson Creek,Johnson Creek,O'Brien,O'Brien County,West Bend,West Bend city,, 
16076,07060001,070600051004,Coon-Yellow,Plume River,Plum River,Black Hawk,Black Hawk County,Wesley,Wesley city,, 
16083,07060002,070600050902,Upper Iowa,Carroll Creek,Carroll Creek,Plymouth,Plymouth County,Titonka,Titonka city,, 
16099,07060003,070600050901,Grant-Little Maquoketa,Carroll Creek,Straddle Creek,Montgomery,Montgomery County,Swea City,Swea City city,, 
16129,07060004,070600050801,Turkey,East Plum Creek,East Fork Creek,Linn,Linn County,Lu Verne,Lu Verne city,, 
16155,07060006,070600050703,Maquoketa,Rush Creek,Rush Creek,Crawford,Crawford County,Lone Rock,Lone Rock city,, 
16177,07080102,070600051002,Upper Wapsipinicon,Plume River,Camp Creek,Cedar,Cedar County,Ledyard,Ledyard city,, 
16191,07080103,070600050802,Lower Wapsipinicon,East Plum Creek,East Plum Creek,Winneshiek,Winneshiek County,Lakota,Lakota city,, 
16902,07080104,070600050601,Flint-Henderson,Apple River,Canyon Lake,Pocahontas,Pocahontas County,Fenton,Fenton city,, 
16906,07080105,070600050602,South Skunk,Apple River,Mill Creek,Lee,Lee County,Burt,Burt city,, 
16918,07080106,070600050203,North Skunk,Sinnisawa River-Mississippi River,Sinsinawa River,Grundy,Grundy County,Bancroft,Bancroft city,, 
16921,07080107,070600050305,Skunk,Galena River,East Fork Galena River,Marshall,Marshall County,Algona,Algona city,, 
16922,07080201,070600050201,Upper Cedar,Sinnisawa River-Mississippi River,Menominee River,Benton,Benton County,State Center,State Center city,, 
16924,07080202,070600050502,Shell Rock,South Fork Apple River-Apple River,South Fork Apple River,Clay,Clay County,St. Anthony,St. Anthony city,, 
23856,07080203,070801010201,Winnebago,Mill Creek-Mississippi River,Cattail Creek,Shelby,Shelby County,Rhodes,Rhodes city,, 
23923,07080204,070801010101,West Fork Cedar,Johnson Creek,Otter Creek,Clayton,Clayton County,Melbourne,Melbourne city,, 
23991,07080205,070600051003,Middle Cedar,Plume River,Muddy Plum River-Plum River,Hamilton,Hamilton County,Marshalltown,Marshalltown city,, 
24008,07080206,070600051001,Lower Cedar,Plume River,North Fork Plum River-Plum River,Taylor,Taylor County,Liscomb,Liscomb city,, 
24014,07080207,070600050701,Upper Iowa,Rush Creek,Little Rush Creek,Wright,Wright County,Le Grand,Le Grand city,, 
24031,07080208,070600050605,Middle Iowa,Apple River,Apple River,Iowa,Iowa County,Laurel,Laurel city,, 
24032,07080209,070600050604,Lower Iowa,Apple River,Irish Hollow,Buena Vista,Buena Vista County,Haverhill,Haverhill city,, 
24044,07100002,070600050702,Upper Des Moines,Rush Creek,Lawhorn Creek-Rush Creek,Kossuth,Kossuth County,Gilman,Gilman city,, 
24060,07100003,070600050603,East Fork Des Moines,Apple River,Furnace Creek,Worth,Worth County,Ferguson,Ferguson city,, 
24062,07100004,070600050402,Middle Des Moines,Pleasant Creek-Mississippi River,Smallpox Creek,Sac,Sac County,Clemons,Clemons city,, 
24090,07100005,070600050401,Boone,Pleasant Creek-Mississippi River,Headwaters Smallpox Creek,Humboldt,Humboldt County,Albion,Albion city,, 
24093,07100006,070600050501,North Raccoon,South Fork Apple River-Apple River,Mud Run-South Fork Apple River,Cherokee,Cherokee County,Williams,Williams city,, 
24100,07100007,070600050504,South Raccoon,South Fork Apple River-Apple River,Welsh Hollow-Apple River,Winnebago,Winnebago County,West Liberty,West Liberty city,, 
24103,07100008,070600050307,Lake Red Rock,Galena River,Galena River,Lyon,Lyon County,Stockton,Stockton city,, 
42151,07100009,070600030104,Lower Des Moines,Upper Grant River,Headwaters Grant River,Marion,Marion County,Nichols,Nichols city,, 
42152,07110001,070600030101,Bear-Wyaconda,Upper Grant River,Borah Creek,Keokuk,Keokuk County,Muscatine,Muscatine city,, 
42161,07110002,070600030103,North Fabius,Upper Grant River,Little Grant River,Monroe,Monroe County,Fruitland,Fruitland city,, 
42162,10170203,070600030502,Lower Big Sioux,Platte River,Crow Branch-Platte River,Dubuque,Dubuque County,Conesville,Conesville city,, 
42163,10170204,070600030501,Rock,Platte River,Leggett Creek,Franklin,Franklin County,Atalissa,Atalissa city,, 
42165,10230001,070600030102,Blackbird-Soldier,Upper Grant River,Martin Branch,Guthrie,Guthrie County,Webb,Webb city,, 
42172,10230002,070600030201,Floyd,Middle Grant River,Blake Fork,Dickinson,Dickinson County,Spencer,Spencer city,, 
