OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
15725,07020009,070801070501,Blue Earth,South Edwards River,Coon Creek,Washington,Washington County,Whittemore,Whittemore city,, 
16039,07040008,071000081301,Root,Johnson Creek,South White Breast Creek,O'Brien,O'Brien County,West Bend,West Bend city,, 
16076,07060001,071000081303,Coon-Yellow,Plume River,Brush Creek,Black Hawk,Black Hawk County,Wesley,Wesley city,, 
16083,07060002,071000081302,Upper Iowa,Carroll Creek,Headwaters White Breast Creek,Plymouth,Plymouth County,Titonka,Titonka city,, 
16099,07060003,070801021002,Grant-Little Maquoketa,Carroll Creek,Heatons Creek-Wapsipinicon River,Montgomery,Montgomery County,Swea City,Swea City city,, 
16129,07060004,070600060407,Turkey,East Plum Creek,Farm Creek,Linn,Linn County,Lu Verne,Lu Verne city,, 
16155,07060006,070600050406,Maquoketa,Rush Creek,Crooked Slough-Mississippi River,Crawford,Crawford County,Lone Rock,Lone Rock city,, 
16177,07080102,070600060501,Upper Wapsipinicon,Plume River,Curran Creek-Whitewater Creek,Cedar,Cedar County,Ledyard,Ledyard city,, 
16191,07080103,070802070902,Lower Wapsipinicon,East Plum Creek,Pine Creek-Iowa River,Winneshiek,Winneshiek County,Lakota,Lakota city,, 
16902,07080104,070802051004,Flint-Henderson,Apple River,Bear Creek-Cedar River,Pocahontas,Pocahontas County,Fenton,Fenton city,, 
16906,07080105,070802040303,South Skunk,Apple River,Spring Creek,Lee,Lee County,Burt,Burt city,, 
16918,07080106,071000081304,North Skunk,Sinnisawa River-Mississippi River,Stephens State Forest-White Breast Creek,Grundy,Grundy County,Bancroft,Bancroft city,, 
16921,07080107,071000080801,Skunk,Galena River,South Squaw Creek,Marshall,Marshall County,Algona,Algona city,, 
16922,07080201,071000080802,Upper Cedar,Sinnisawa River-Mississippi River,Upper Squaw Creek,Benton,Benton County,State Center,State Center city,, 
16924,07080202,071000050403,Shell Rock,South Fork Apple River-Apple River,Eagle Creek,Clay,Clay County,St. Anthony,St. Anthony city,, 
23856,07080203,070802040502,Winnebago,Mill Creek-Mississippi River,Headwaters Maynes Creek,Shelby,Shelby County,Rhodes,Rhodes city,, 
23923,07080204,070600060201,West Fork Cedar,Johnson Creek,Bruce Creek-Maquoketa River,Clayton,Clayton County,Melbourne,Melbourne city,, 
23991,07080205,070802040504,Middle Cedar,Plume River,Maynes Creek,Hamilton,Hamilton County,Marshalltown,Marshalltown city,, 
