comid,area,acres
13336562,13337464,,
13337102,13337122,,
13337306,13335220,,
13336508,13335348,,
13337278,13335196,,
13211090,13210896,,
13211298,13211350,,
13211730,13211350,,
13308741,13309795,,
13309075,13309795,,
13311879,13311735,,
13311953,13313687,,
13312435,13313687,,
13312489,13312469,,
13325110,13325006,,
13376223,13376055,,
13376219,13371689,,
13374239,13373317,,
13375649,13373387,,
6949292,6946228,9.73666,986.291852080
6948920,6947494,,
6950974,6947896,9.73666,986.291852080
6950486,6950368,,
14794879,6950368,9.73666,986.291852080
14795283,14795285,169.217427,42398.894069440
14795495,14795349,,
14796185,14796831,,
14803985,14803927,,
14803953,14804035,,
14804277,14804035,,
6570284,6570264,14832.341559441,539854.137439577617
6570940,6570256,290566.735236012,6868320.594078572396
6570914,6570914,7931.450283,23237.64951886457
6572160,6570914,138789.72856092,2175822.782153276554
17539323,17538123,791964.664702856,13983322.532084183850
17539261,17539633,11.29657,7322.16857319
17541397,17541275,811446.702665056,14267881.007277805850
17541959,17541903,,
17538703,17538175,,
17543537,17538175,,
17543587,17542585,,
17543573,17542215,811446.702665056,14267881.007277805850
17543645,17542355,,
17543597,17542749,811446.702665056,14267881.007277805850
17540301,17542369,,
11916389,17540457,811446.702665056,14267881.007277805850
11915429,11915251,,
11915407,11915309,,
11915379,11916703,,
11915507,11916703,,
11916315,11915251,811446.702665056,14267881.007277805850
11916245,11915551,,
11915787,11915503,,
11917317,11917169,,
11918423,11917415,1139.93439,7010.227305693
11919685,11918415,812705.586055056,14275224.891831254850
7015765,7016683,116773.2503523,930581.406154031129
7015937,7014619,119355.9103023,994252.164821348129
7016523,7016375,137991.346775188,1213219.268368752919
7016531,7015713,3141.83633301,41052.1408489751
7017471,7017491,146687.886964852,1305250.763563301302
7017505,7017317,146687.886964852,1305250.763563301302
2165301,2165147,229947.284349146,1626542.636266258277
6566217,6566107,6353.02529554,28688.939288672
937080094,6566183,210520.347326275,2731346.640794318817
6559411,6559401,334548.68003998,4070562.271414726837
6561217,6561023,362432.8252939,4328824.476513687134
22471721,22471619,30556.0640788042,273889.505955156478
937080141,22471605,769624.0606867,7534507.382298403191
22474681,22474601,,
937080146,22474307,769624.0606867,7534507.382298403191
22476707,22475603,,
22477067,22476367,769624.0606867,7534507.382298403191
22473833,22473287,769624.0606867,7534507.382298403191
22477695,22477721,769624.0606867,7534507.382298403191
17554979,17554809,,
17556947,17556923,769624.0606867,7534507.382298403191
17556269,17556269,,
17557695,17557471,776366.7104867,7596626.285624443191
11919825,11919813,1597296.18069766,22014278.382848989041
11923655,11919251,1611329.48394166,22695672.692515589041
6978626,6978574,70157.66363875,368296.58538222117
6978824,6979200,10636.92302538,121168.67848950065
6978934,6978622,183954.492343457,1572465.604020239622
6979014,6978600,80659.9513249132,675721.31775573959
6979048,6978622,271778.3267675,2325223.783632468173
6987834,6981542,349399.917502408,7075415.773021062886
6981152,6978670,87118.2441695185,756022.1257568679
6984030,6979864,497109.709460238,13954349.797084952786
6996297,6995615,6195.97574921,121909.63499170
7003858,7003226,503305.685209448,14076259.432076652786
7005420,7006188,,
7003470,7003390,,
7006146,7003390,503305.685209448,14076259.432076652786
6586993,6586481,25033.7687656,420497.79234657626
6587219,6587455,185986.03152108,1436391.56320571956
6588281,6588089,817625.371619221,8031727.27957144345
6591302,6590904,477701.639529331,6612341.502648348956
6591838,6591692,735006.416507646,8776845.377971077378
6594454,6594140,2066102.62684464,40112781.394098616178
6603048,6602612,299935.301601252,7312379.002383014019
6603910,6603302,760491.807269486,14445648.021265303091
6595152,6595944,3024144.00546334,56624743.467125120067
6595970,6595960,59259.641711082,1581044.4485681112
6597718,6597530,3140138.6719342,59331329.273752419767
6597540,6597540,,
6597748,6597530,3259623.50676452,61326756.134879361530
6608106,6606826,567959.9448207,7307268.714488086120
6610484,6610460,1450525.04235679,20906137.787032059905
6619774,6618888,14.232547,71489.4557040
6618116,6618164,4012.90802,274681.7982510
6621598,6618098,215172.56575235,6899640.137564451538
6621656,6620370,219094.65801435,6920248.843578425938
6621036,6621580,249810.090356337,7279497.164005333938
6610166,6609910,2166869.01974922,34063577.441324700330
6610162,6609910,2167685.47655922,34069785.070310866330
6610248,6609898,2167727.73225922,34071485.284727728330
6609844,6609678,9995.8581527,39501.7303954412
6610140,6609678,2178623.50777192,34112687.229540031530
22249381,6597530,5438401.44453643,95441638.346267940060
22248777,22248729,13989.862029836,101334.5188254415
22248913,22248729,14720.171715436,133865.2743738984
22250473,22250453,,
22253619,22250857,,
22251347,22251407,,
22254205,22253493,5474677.78220788,95771853.206500065760
22251995,22252363,,
4995175,22249805,5474677.78220788,95771853.206500065760
4995875,4996275,,
4995213,4993719,5474677.78220788,95771853.206500065760
4994047,4994087,,
4995479,4994631,5474677.78220788,95771853.206500065760
4998271,5000781,5474677.7822079,95771853.206500065760
5799184,5798278,,
7242391,7241925,,
7243027,7242877,,
7242913,7242941,796968.828259731,29654625.253810524486
7226820,7226476,796968.828259731,29654625.253810524486
17243674,17243674,,
17243626,17243674,,
17243678,17243674,,
17239358,17239300,,
940230078,17239458,8877.539932145,126496.32989527728
17240094,17240296,8877.539932145,126496.32989527728
17234914,17234886,2875020.49626048,168180612.9173203019
25189964,17236152,4907411.83796092,432996978.7591331337
14620352,14619980,89206.11205399,2343132.57882907734
14621218,14619920,121070.144784431,2857838.727085081594
14621756,14620570,20335.7914618256,266306.414080109
14623352,14619302,449207.614745372,8299262.202077577314
14624658,14623006,484527.42482477,8929477.287204798520
17227027,17226761,9296.1457764,135764.5745419948
14626248,14626248,62249.18292,2145044.24317134
17246860,17246842,1692.4872,23492.513924244
17208706,17208696,43593.64565568,2456990.423469004
17207700,17207046,,
7310681,7309917,,
19209621,19206967,,
19210377,19209951,,
19210415,19210229,,
19166273,19165603,,
19166807,19166555,,
19167379,19166555,,
659674,659478,,
3701190,3701170,,
3701200,3701184,,
3701978,3701606,,
19129083,19129073,,
3722745,3722251,,
5138325,5136971,,
5124308,5124346,,
5123830,5123776,,
940280023,940280023,,
5121684,5121602,,
13337650,13335854,,
13337902,13337464,,
13326714,13326216,,
13311203,13311281,,
13375515,13374421,,
6566607,6566321,7265.560991807,97474.639998226400
17556267,17556227,,
6588095,6587345,58150.6183973,1551651.740630054
6594388,6594256,256754.436149728,10040297.252575544306
6608186,6607380,1147783.45324447,15064792.158279393421
7226854,7226580,796968.828259731,29654625.253810524486
14621342,14621378,0.8814,3080.83813236
940280011,5121296,,
5123226,5124346,,
3701254,3701254,,
11915305,11915387,,
