comid,rusle_sum,rusle_majority,rusle_mean,counts
6979044,1.39994e+06,269,550.259,39770
2165863,380485,136,213.03,9934
14803821,3.36179e+06,766,971.414,26588
22477379,7.92494e+08,182970,219370,1.79789e+07
5120872,424365,65,213.099,12711
14623416,1.28532e+06,457,427.255,21395
6619976,2.47149e+06,1287,1282.74,22445
6609926,849953,12,310.116,18886
22249009,282688,0,9.96679,56726
13357294,191893,0,44.8453,4279
13337704,350478,115,133.929,11235
17539093,648282,700,370.332,10390
17539093,648282,700,370.332,10390
5121448,99568,3,22.1262,4500
17218568,4.31323e+06,869,1053.41,20462
6597134,1.0017e+07,1010,1758.06,247304
19166665,3.35566e+06,3550,3203.18,26845
17243636,1.15446e+06,21,92.6314,12463
17539225,1.308e+06,280,274.877,10034
6609790,30341,0,10.4732,2897
6609766,822049,247,307.411,27163
6609988,514064,87,118.814,9424
22471909,1.82903e+06,759,605.149,50875
22474117,1.34452e+06,3,110.297,36570
13310287,386992,2,72.1808,10361
7017239,307903,6,74.4163,12590
6609812,868607,261,325.808,38186
6572456,2.789e+06,200,273.976,66114
22254479,4.49976e+06,3002,2738.23,32064
22254495,1.20159e+06,20,474.428,10760
22254523,6.24025e+06,3130,3233.37,32151
22254467,3.53036e+06,2323,1751.57,15539
22254471,1.99282e+06,1246,696.238,20421
3722953,3.48734e+06,1958,1366.34,33037
13210192,510767,60,105.248,4853
13210172,528278,121,157.775,6776
13211112,1.16382e+06,248,258.147,13403
13211112,1.16382e+06,248,258.147,13403
22476391,1.29339e+06,144,170.767,15148
17540033,769524,313,369.991,9465
22477611,6.81769e+06,3468,3168.52,76438
22471909,1.82903e+06,759,605.149,50875
22474229,1.20811e+06,300,185.73,32873
22474241,561230,132,172.416,15394
22474413,1.37369e+06,367,414.697,32044
7017365,3.51112e+06,211,226.237,91738
22475155,1.69238e+06,550,509.43,27613
22474973,805858,187,161.362,15132
22474253,782368,230,210.751,18523
22474269,1.3519e+06,362,238.298,38549
6598056,1.21475e+06,136,161.12,37574
6595028,804738,40,90.8236,17745
6948750,557938,23,30.084,18546
6949904,579845,130,150.21,15681
22472913,502327,54,42.8241,11730
22472845,486391,316,281.759,11404
6947786,516703,313,250.239,10693
6606184,2.5934e+06,229,219.931,64660
6606174,1.82742e+06,20,34.9751,52249
6606256,1.14331e+06,375,471.725,27686
2165369,252125,46,43.5449,5790
6560899,830503,1,45.6898,18177
6618238,759573,757,441.801,4332
19166495,3.87934e+06,1457,1348.97,25199
19166081,9.22409e+06,1086,2330.77,49302
17555191,1.18871e+06,496,387.522,25202
14795691,946555,476,485.794,15063
17556305,3.10823e+06,322,638.147,24246
17556319,5.39528e+06,917,1469.24,34287
17556359,2.39453e+06,370,589.51,19126
17555159,1.63568e+06,518,588.276,21553
6566271,3166,6,14.3319,1359
6566521,1.49593e+06,518,367.656,48357
14622890,1.78933e+06,1250,883.231,22060
14622672,1.5705e+06,629,533.504,22107
14623416,1.28532e+06,457,427.255,21395
6949278,535266,259,261.898,11501
6948406,482465,161,183.602,17192
5135699,1.45494e+06,124,737.967,18857
22253177,398635,17,94.2513,12502
14621980,559061,113,137.572,20926
13309017,773680,2,84.6848,9136
13312723,1.39021e+06,116,608.702,14168
14795813,1.42321e+06,100,385.182,7640
14795867,558432,125,190.821,14973
13375337,1.67426e+06,144,201.346,19153
14796819,568684,122,123.047,13858
17206790,3.18306e+06,1655,1205.83,17450
6609988,514064,87,118.814,9424
6609988,514064,87,118.814,9424
5103020,1.59729e+06,533,303.323,17599
13376213,363111,124,84.8581,8523
13376235,341957,62,48.9349,6988
13312981,1.1142e+06,107,474.847,6153
6950330,442746,148,152.157,11454
13376323,1.41618e+06,615,706.798,32416
11919497,563857,45,182.985,9895
13372991,630007,203,161.872,3892
13373197,1.82284e+06,1541,896.111,14728
6947600,424530,121,120.76,11031
6947628,501439,216,180.192,10622
6947624,609577,96,86.7437,13510
6947622,447658,45,48.5266,9225
13372001,345453,117,87.5629,8233
13311345,687707,225,221.495,11925
13311949,885190,90,100.504,17496
6947592,1.33298e+06,671,626.339,31417
6948006,351668,105,77.3925,8815
6947530,293729,60,40.5591,7242
13312253,390397,150,174.654,6958
13310957,1.51382e+06,686,524.216,17503
7016519,1.2441e+06,151,158.832,37915
7016519,1.2441e+06,151,158.832,37915
6560531,1.81954e+06,317,268.104,43530
22472361,1.17989e+06,99,101.512,23057
6619852,5.75931e+06,88,181.544,126896
22474233,358999,58,44.1193,8137
22474277,771962,269,241.414,17991
22474923,981510,446,349.965,23009
6620932,1.31413e+06,142,519.68,22667
19163815,1.21582e+06,896,483.155,7789
6620116,860994,25,41.4917,20751
6572090,1.70708e+06,494,499.183,27261
7003320,2.07598e+06,306,319.526,23559
13309523,600259,267,238.688,12981
13309567,559781,229,203.96,13294
13310379,1.41051e+06,367,495.381,32911
13309931,298899,1,39.5317,7561
13310423,450082,129,124.125,11078
17543627,3.07987e+06,1354,759.272,19179
17542921,5.09948e+06,3068,2038.32,31568
11917269,1.46943e+06,4,253.656,11586
11917101,2.06589e+06,473,472.436,12046
11917729,2.39483e+06,521,421.341,16160
11916767,3.18406e+06,1264,1597.13,19261
11915463,1.97149e+06,74,140.25,14057
11915457,3.49679e+06,447,284.282,24647
13374709,2.44201e+06,508,1086.67,25565
13361270,3.83172e+06,3674,2392.82,20386
6981186,484759,60,69.6293,6962
6981500,141542,26,40.6263,3484
6979694,3.40891e+06,2553,1323.37,25175
6979692,2.03578e+06,1984,953.685,14711
11915361,246621,2,87.1144,2831
11915917,129432,28,28.1864,4592
11915629,897540,30,201.996,13258
17540521,1.55648e+06,195,244.087,23806
17540263,1.50492e+06,125,253.297,15751
13377495,5.62154e+06,3077,2728.29,23802
13377043,1.35521e+06,518,504.569,20571
13377599,2.61827e+06,1513,1249.85,10520
13377491,2.07607e+06,875,846.116,23462
6965285,130956,129,56.2068,5630
6965273,256587,64,52.0989,4925
6964715,960527,294,287.294,11100
17555769,675039,74,66.4998,10151
6950710,1.18737e+06,569,480.36,28167
11918959,987570,27,100.731,9804
5120872,424365,65,213.099,12711
7242761,786975,201,208.296,10967
7226144,2.29626e+06,201,168.698,35319
7225268,1.02888e+06,201,169.038,17498
22255723,521365,127,389.465,10528
22249737,3.0789e+06,1524,873.961,31523
6983626,2.38353e+06,475,967.4,31124
17539199,3.85833e+06,2490,2534.04,27021
17539311,1.76027e+06,154,197.736,26181
17538155,1.40703e+06,397,501.782,23993
7015675,864137,74,92.7521,25615
4994973,281713,169,244.949,13040
19166523,2.78786e+06,3438,1907.42,18416
14620388,486084,69,83.6414,19082
14621726,506627,46,81.7294,11960
14621740,658255,99,78.1728,15176
14620826,498908,156,151.194,9870
7243815,556628,82,78.0427,21201
19167073,2.2725e+06,837,772.011,19581
17239962,4.6427e+06,452,215.969,21497
17233716,1.99704e+06,560,489.569,39201
22248781,622442,43,73.2895,24895
6597312,271991,3,61.4634,14286
6597270,1.24542e+06,22,59.6991,41001
22249293,508853,21,30.663,16595
22248825,1.15006e+06,124,152.085,36661
17218398,8.79332e+06,3538,3449.73,40282
17219024,3.96498e+06,235,1162.15,27328
19208055,1.68816e+06,161,356.412,13833
19208091,4.00971e+06,870,1289.27,28562
17543477,3.22576e+06,975,712.082,20771
11917353,1.26808e+06,868,951.999,11998
11916761,1.3126e+06,519,525.009,15394
5103900,806830,14,107.224,12613
2528217,201072,36,104.507,1924
14804137,1.44355e+06,850,1173.56,25936
14803787,1.2119e+06,100,172.445,21193
14803753,162678,74,56.4071,2884
14803841,2.61514e+06,753,845.535,34037
14803821,3.36179e+06,766,971.414,26588
14803819,1.76269e+06,730,900.498,9147
7309893,6.80143e+06,2394,1624.75,37410
19207481,6.21432e+06,2104,1239.71,34907
17238880,727479,73,42.6124,17072
17238874,552321,212,165.112,17328
17239820,2.21567e+06,73,66.4948,33321
17240102,1.65538e+07,7389,6121.16,360756
17240202,1.50946e+06,578,382.714,41490
6979044,1.39994e+06,269,550.259,39770
6979036,2.901e+06,189,331.506,78299
6980772,2.34007e+06,251,508.908,64207
6980656,2.07191e+06,188,459.338,52449
17543703,4.16723e+08,105358,120006,6.38218e+06
17539225,1.308e+06,280,274.877,10034
22475363,1.34612e+06,360,364.974,19426
22476055,598523,172,198.813,16314
22476181,841621,719,746.32,7622
17541213,2.91368e+06,1174,1519.05,20206
17541373,251503,25,82.1368,3062
3722649,116792,10,64.7406,1804
2526989,231773,2,28.7417,8064
4994409,1.6013e+06,697,513.863,18602
22252021,1.7709e+06,140,442.031,27887
11919635,1.21598e+06,27,45.8171,26540
7002558,1.43021e+06,201,401.174,16453
7003568,1.23746e+06,81,162.356,21911
7002376,1.70286e+06,109,369.08,21075
5123862,914266,333,384.65,17091
