GRIDCODE,C_D,nodata,B_D,C,B,A,D,A_D,total
6979044,1.81812e+07,0,982769,1.31036e+06,1.50691e+07,0,0,0,3.55435e+07
2165863,5.73282e+06,0,491384,491384,1.31036e+06,327590,0,327590,8.68112e+06
14803821,4.91384e+06,0,1.63795e+06,1.60519e+07,818974,0,0,0,2.34227e+07
22477379,5.86455e+09,2.79925e+08,2.00945e+09,2.96011e+09,3.75649e+09,8.9006e+08,3.13012e+08,1.34967e+08,1.62086e+10
5120872,2.94831e+06,327590,0,1.96554e+06,0,0,6.2242e+06,0,1.14656e+07
14623416,3.2759e+06,491384,818974,1.2776e+07,491384,163795,1.31036e+06,0,1.93278e+07
6619976,4.09487e+06,163795,655179,1.37588e+07,327590,163795,982769,0,2.01468e+07
6609926,2.78451e+06,3.1121e+06,0,1.01553e+07,327590,0,491384,0,1.68709e+07
22249009,1.44139e+07,1.8345e+07,0,0,1.70347e+07,982769,327590,0,5.1104e+07
13357294,0,491384,0,1.80174e+06,655179,0,327590,0,3.2759e+06
13337704,3.1121e+06,163795,2.29313e+06,491384,2.29313e+06,982769,163795,0,9.5001e+06
17539093,1.80174e+06,163795,0,7.04318e+06,0,0,0,0,9.00871e+06
17539093,1.80174e+06,163795,0,7.04318e+06,0,0,0,0,9.00871e+06
5121448,818974,0,0,491384,0,0,2.62072e+06,0,3.93108e+06
17218568,0,163795,0,655179,1.80174e+07,0,0,0,1.88364e+07
6597134,1.15639e+08,4.42246e+06,1.21208e+07,4.42246e+06,8.58285e+07,491384,0,0,2.22925e+08
19166665,5.40523e+06,0,0,1.68709e+07,0,0,1.63795e+06,0,2.3914e+07
17243636,0,0,0,655179,1.01553e+07,0,0,0,1.08105e+07
17539225,2.12933e+06,0,0,5.89661e+06,655179,163795,0,0,8.84492e+06
6609790,163795,1.47415e+06,0,0,1.14656e+06,0,0,0,2.78451e+06
6609766,1.03191e+07,4.25866e+06,0,0,9.66389e+06,0,0,0,2.42416e+07
6609988,1.80174e+06,0,0,5.89661e+06,0,0,655179,0,8.35353e+06
22471909,1.42501e+07,655179,7.37077e+06,1.09743e+07,6.388e+06,6.55179e+06,0,0,4.61901e+07
22474117,9.82769e+06,0,4.42246e+06,0,1.17932e+07,5.89661e+06,0,0,3.194e+07
13310287,2.94831e+06,163795,1.31036e+06,163795,4.09487e+06,491384,0,0,9.17251e+06
7017239,1.80174e+06,327590,3.2759e+06,1.14656e+06,5.56902e+06,0,163795,0,1.22846e+07
6609812,1.09743e+07,5.73282e+06,0,163795,1.70347e+07,0,0,0,3.39055e+07
6572456,2.6371e+07,0,7.04318e+06,3.43969e+06,2.30951e+07,327590,0,327590,6.06041e+07
22254479,8.35353e+06,327590,0,1.94916e+07,0,163795,1.14656e+06,0,2.94831e+07
22254495,3.1121e+06,327590,0,5.24143e+06,0,0,818974,0,9.5001e+06
22254523,6.87938e+06,0,0,2.12933e+07,163795,0,818974,0,2.91555e+07
22254467,3.2759e+06,0,0,1.01553e+07,0,0,491384,0,1.39226e+07
22254471,7.53456e+06,0,0,1.06467e+07,0,0,327590,0,1.85088e+07
3722953,8.68112e+06,0,0,1.42501e+07,0,0,7.04318e+06,0,2.99744e+07
13210192,0,163795,163795,2.94831e+06,163795,163795,818974,0,4.42246e+06
13210172,0,0,163795,3.2759e+06,491384,0,2.45692e+06,0,6.388e+06
13211112,163795,491384,818974,9.17251e+06,818974,0,982769,0,1.24484e+07
13211112,163795,491384,818974,9.17251e+06,818974,0,982769,0,1.24484e+07
22476391,5.89661e+06,0,0,7.20697e+06,327590,0,0,0,1.34312e+07
17540033,1.80174e+06,0,163795,4.91384e+06,1.47415e+06,0,0,0,8.35353e+06
22477611,2.48968e+07,0,491384,2.70261e+07,1.55605e+07,655179,0,0,6.863e+07
22471909,1.42501e+07,655179,7.37077e+06,1.09743e+07,6.388e+06,6.55179e+06,0,0,4.61901e+07
22474229,1.13018e+07,0,5.56902e+06,6.71559e+06,4.42246e+06,1.47415e+06,163795,0,2.96469e+07
22474241,5.07764e+06,0,4.25866e+06,982769,2.29313e+06,982769,327590,0,1.39226e+07
22474413,1.26122e+07,163795,2.12933e+06,3.93108e+06,9.17251e+06,327590,0,0,2.83365e+07
7017365,3.21038e+07,0,2.85003e+07,1.06467e+07,7.37077e+06,2.62072e+06,0,0,8.12422e+07
22475155,1.03191e+07,0,491384,1.17932e+07,1.96554e+06,0,0,0,2.45692e+07
22474973,7.37077e+06,0,0,2.62072e+06,3.43969e+06,0,163795,0,1.3595e+07
22474253,5.40523e+06,2.62072e+06,0,491384,7.53456e+06,0,163795,0,1.62157e+07
22474269,1.2776e+07,1.14656e+06,5.89661e+06,7.20697e+06,6.388e+06,1.47415e+06,163795,0,3.50521e+07
6598056,2.37502e+07,0,2.12933e+06,655179,7.20697e+06,0,0,0,3.37417e+07
6595028,6.87938e+06,163795,327590,163795,8.51733e+06,0,0,0,1.60519e+07
6948750,1.31036e+07,0,1.14656e+06,1.14656e+06,163795,1.47415e+06,0,0,1.70347e+07
6949904,4.75005e+06,655179,3.1121e+06,0,4.42246e+06,818974,327590,0,1.40864e+07
22472913,5.73282e+06,163795,1.14656e+06,163795,818974,2.12933e+06,0,163795,1.03191e+07
22472845,3.43969e+06,0,1.80174e+06,0,2.29313e+06,2.62072e+06,0,163795,1.03191e+07
6947786,3.60349e+06,0,2.45692e+06,0,3.43969e+06,163795,0,0,9.66389e+06
6606184,3.60349e+07,0,491384,0,1.98192e+07,163795,1.80174e+06,0,5.83109e+07
6606174,3.06296e+07,0,491384,0,1.40864e+07,327590,2.12933e+06,0,4.76643e+07
6606256,1.26122e+07,163795,0,1.17932e+07,0,0,0,0,2.45692e+07
2165369,4.09487e+06,0,0,0,982769,0,163795,0,5.24143e+06
6560899,5.73282e+06,0,1.47415e+06,1.96554e+06,6.71559e+06,491384,0,163795,1.65433e+07
6618238,1.14656e+06,0,163795,2.62072e+06,0,0,0,0,3.93108e+06
19166495,2.45692e+06,0,0,1.63795e+07,1.14656e+06,0,2.45692e+06,0,2.24399e+07
19166081,163795,2.12933e+06,0,4.02935e+07,0,0,2.29313e+06,0,4.48798e+07
17555191,1.17932e+07,163795,0,1.17932e+07,0,0,0,0,2.37502e+07
14795691,7.53456e+06,163795,0,5.07764e+06,982769,0,0,0,1.37588e+07
17556305,6.06041e+06,0,0,1.55605e+07,0,0,0,0,2.16209e+07
17556319,9.66389e+06,163795,0,2.12933e+07,0,0,0,0,3.1121e+07
17556359,6.71559e+06,0,0,1.08105e+07,0,0,0,0,1.7526e+07
17555159,9.5001e+06,327590,0,9.5001e+06,0,0,0,0,1.93278e+07
6566271,327590,163795,327590,163795,0,0,163795,0,1.14656e+06
6566521,1.81812e+07,0,9.3363e+06,1.63795e+06,1.42501e+07,491384,0,0,4.3897e+07
14622890,4.09487e+06,163795,0,1.52329e+07,0,327590,0,0,1.98192e+07
14622672,1.96554e+06,163795,491384,1.44139e+07,1.31036e+06,982769,0,0,1.93278e+07
14623416,3.2759e+06,491384,818974,1.2776e+07,491384,163795,1.31036e+06,0,1.93278e+07
6949278,4.09487e+06,327590,2.62072e+06,0,2.94831e+06,491384,0,163795,1.06467e+07
6948406,9.17251e+06,0,3.43969e+06,0,1.63795e+06,163795,0,0,1.44139e+07
5135699,3.2759e+06,655179,0,6.87938e+06,0,0,6.2242e+06,0,1.70347e+07
22253177,2.45692e+06,163795,0,3.2759e+06,0,0,5.40523e+06,0,1.13018e+07
14621980,1.34312e+07,0,0,3.43969e+06,1.96554e+06,0,0,0,1.88364e+07
13309017,0,0,982769,6.71559e+06,327590,0,0,0,8.02594e+06
13312723,163795,0,0,9.5001e+06,491384,0,3.1121e+06,0,1.32674e+07
14795813,1.96554e+06,163795,0,2.45692e+06,2.45692e+06,163795,0,0,7.20697e+06
14795867,6.71559e+06,0,1.80174e+06,818974,2.29313e+06,1.31036e+06,0,0,1.29398e+07
13375337,7.53456e+06,0,0,9.5001e+06,491384,163795,0,0,1.76898e+07
14796819,5.07764e+06,0,163795,6.06041e+06,655179,0,818974,0,1.2776e+07
17206790,655179,0,0,1.53967e+07,163795,0,0,0,1.62157e+07
6609988,1.80174e+06,0,0,5.89661e+06,0,0,655179,0,8.35353e+06
6609988,1.80174e+06,0,0,5.89661e+06,0,0,655179,0,8.35353e+06
5103020,2.29313e+06,818974,0,1.63795e+06,2.29313e+06,0,8.35353e+06,0,1.53967e+07
13376213,2.12933e+06,0,163795,0,3.93108e+06,327590,818974,0,7.37077e+06
13376235,491384,0,491384,163795,4.25866e+06,163795,818974,0,6.388e+06
13312981,0,0,0,4.91384e+06,491384,0,491384,0,5.89661e+06
6950330,4.75005e+06,0,0,327590,4.25866e+06,655179,0,0,9.99148e+06
13376323,1.1138e+07,0,982769,2.94831e+06,1.17932e+07,982769,1.96554e+06,0,2.98107e+07
11919497,5.07764e+06,0,0,3.2759e+06,0,0,163795,0,8.51733e+06
13372991,0,327590,0,2.78451e+06,491384,0,0,0,3.60349e+06
13373197,0,0,655179,1.17932e+07,491384,0,491384,0,1.34312e+07
6947600,3.1121e+06,0,1.47415e+06,163795,4.42246e+06,818974,0,0,9.99148e+06
6947628,2.62072e+06,0,3.93108e+06,0,3.1121e+06,163795,0,0,9.82769e+06
6947624,4.91384e+06,0,2.94831e+06,0,3.60349e+06,327590,0,0,1.17932e+07
6947622,2.94831e+06,0,2.62072e+06,163795,2.78451e+06,0,0,0,8.51733e+06
13372001,1.14656e+06,0,2.45692e+06,1.31036e+06,2.12933e+06,163795,163795,0,7.37077e+06
13311345,1.31036e+06,0,2.78451e+06,0,5.24143e+06,1.14656e+06,327590,0,1.08105e+07
13311949,5.24143e+06,0,1.63795e+06,982769,7.04318e+06,818974,491384,0,1.62157e+07
6947592,8.18974e+06,0,5.40523e+06,655179,1.21208e+07,1.47415e+06,163795,0,2.80089e+07
6948006,2.12933e+06,0,1.47415e+06,0,3.43969e+06,655179,0,0,7.69836e+06
6947530,2.12933e+06,0,982769,0,3.1121e+06,327590,0,0,6.55179e+06
13312253,2.12933e+06,0,491384,491384,2.78451e+06,0,0,0,5.89661e+06
13310957,818974,2.62072e+06,0,7.37077e+06,2.62072e+06,982769,1.31036e+06,0,1.57243e+07
7016519,1.80174e+07,163795,9.66389e+06,327590,5.89661e+06,0,0,0,3.40693e+07
7016519,1.80174e+07,163795,9.66389e+06,327590,5.89661e+06,0,0,0,3.40693e+07
6560531,7.37076e+06,0,1.01553e+07,327590,2.04743e+07,163795,1.14656e+06,0,3.96383e+07
22472361,4.25866e+06,0,7.53456e+06,982769,8.35353e+06,0,0,0,2.11295e+07
6619852,7.27249e+07,0,1.31036e+06,1.96554e+06,3.73452e+07,0,0,0,1.13346e+08
22474233,2.94831e+06,0,1.47415e+06,327590,2.12933e+06,0,163795,0,7.04318e+06
22474277,6.71559e+06,0,3.43969e+06,0,5.56902e+06,0,0,0,1.57243e+07
22474923,1.06467e+07,0,0,8.18974e+06,1.63795e+06,0,0,0,2.04743e+07
6620932,1.47415e+06,0,0,1.85088e+07,163795,0,327590,0,2.04743e+07
19163815,1.96554e+06,0,0,5.24143e+06,0,0,0,0,7.20697e+06
6620116,1.2776e+07,0,0,163795,6.06041e+06,0,0,0,1.90002e+07
6572090,8.02594e+06,0,2.78451e+06,491384,1.32674e+07,0,0,0,2.45692e+07
7003320,1.2776e+07,0,0,7.37077e+06,0,0,1.63795e+06,0,2.17847e+07
13309523,6.2242e+06,0,2.94831e+06,982769,655179,0,491384,0,1.13018e+07
13309567,7.04318e+06,0,3.43969e+06,1.47415e+06,327590,0,0,0,1.22846e+07
13310379,1.22846e+07,0,9.17251e+06,2.29313e+06,4.58625e+06,0,818974,0,2.91555e+07
13309931,2.29313e+06,0,1.80174e+06,0,1.96554e+06,163795,163795,0,6.388e+06
13310423,3.2759e+06,0,3.93108e+06,327590,2.62072e+06,0,0,0,1.01553e+07
17543627,4.09487e+06,0,0,1.2776e+07,163795,163795,327590,0,1.7526e+07
17542921,6.71559e+06,0,0,2.08019e+07,0,0,982769,0,2.85003e+07
11917269,4.58625e+06,0,0,5.89661e+06,0,0,0,0,1.04829e+07
11917101,3.43969e+06,0,0,6.71559e+06,0,0,818974,0,1.09743e+07
11917729,3.93108e+06,0,0,9.3363e+06,163795,0,1.31036e+06,0,1.47415e+07
11916767,3.43969e+06,0,0,1.31036e+07,0,0,491384,0,1.70347e+07
11915463,3.2759e+06,655179,0,8.51733e+06,0,0,818974,0,1.32674e+07
11915457,6.388e+06,655179,0,1.49053e+07,0,0,818974,0,2.27675e+07
13374709,818974,163795,491384,1.52329e+07,3.76728e+06,0,2.45692e+06,0,2.29313e+07
13361270,0,0,818974,1.16294e+07,5.73282e+06,0,491384,0,1.86726e+07
6981186,2.62072e+06,0,0,0,3.93108e+06,0,0,0,6.55179e+06
6981500,0,0,0,818974,327590,163795,1.80174e+06,0,3.1121e+06
6979694,6.71559e+06,0,0,1.24484e+07,818974,0,2.45692e+06,0,2.24399e+07
6979692,2.94831e+06,163795,0,9.5001e+06,163795,0,655179,0,1.34312e+07
11915361,163795,0,0,1.63795e+06,327590,163795,0,0,2.29313e+06
11915917,2.62072e+06,163795,163795,655179,163795,163795,0,0,3.93108e+06
11915629,2.78451e+06,491384,327590,7.86215e+06,655179,0,0,0,1.21208e+07
17540521,8.68112e+06,0,327590,8.35354e+06,1.47415e+06,2.12933e+06,0,0,2.09657e+07
17540263,5.73282e+06,0,163795,3.60349e+06,3.76728e+06,982769,0,0,1.42501e+07
13377495,655179,327590,1.14656e+06,1.32674e+07,6.06041e+06,0,0,0,2.14571e+07
13377043,6.55179e+06,0,1.14656e+06,4.58625e+06,3.1121e+06,1.80174e+06,818974,0,1.80174e+07
13377599,491384,0,163795,5.40523e+06,3.43969e+06,0,0,0,9.5001e+06
13377491,1.06467e+07,0,655179,8.35354e+06,1.31036e+06,0,0,0,2.09657e+07
6965285,0,491384,0,3.43969e+06,655179,0,491384,0,5.07764e+06
6965273,0,491384,0,3.43969e+06,163795,0,327590,0,4.42246e+06
6964715,3.1121e+06,0,0,163795,0,0,6.55179e+06,0,9.82769e+06
17555769,1.14656e+06,0,655179,5.73282e+06,1.14656e+06,1.14656e+06,0,0,9.82769e+06
6950710,9.3363e+06,0,1.47415e+06,327590,1.34312e+07,982769,0,0,2.5552e+07
11918959,1.47415e+06,0,0,5.73282e+06,982769,0,982769,0,9.17251e+06
5120872,2.94831e+06,327590,0,1.96554e+06,0,0,6.2242e+06,0,1.14656e+07
7242761,491384,0,0,9.00871e+06,327590,0,0,0,9.82769e+06
7226144,5.07764e+06,0,327590,2.35864e+07,2.45692e+06,0,0,0,3.14486e+07
7225268,1.96554e+06,163795,0,1.34312e+07,327590,0,0,0,1.58881e+07
22255723,1.63795e+06,0,0,5.73282e+06,0,0,2.29313e+06,0,9.66389e+06
22249737,1.06467e+07,0,0,1.7526e+07,0,0,655179,0,2.88279e+07
6983626,1.08105e+07,491384,0,1.34312e+07,1.63795e+06,0,1.63795e+06,0,2.80089e+07
17539199,4.25866e+06,0,0,1.9983e+07,163795,0,163795,0,2.45692e+07
17539311,1.17932e+07,0,0,1.03191e+07,163795,1.47415e+06,0,0,2.37502e+07
17538155,1.09743e+07,0,0,1.06467e+07,327590,0,163795,0,2.21123e+07
7015675,4.42246e+06,0,4.25866e+06,1.47415e+06,1.06467e+07,818974,1.14656e+06,0,2.27675e+07
4994973,2.62072e+06,0,0,4.75005e+06,0,0,4.25866e+06,0,1.16294e+07
19166523,2.94831e+06,327590,0,1.24484e+07,163795,0,491384,0,1.63795e+07
14620388,1.34312e+07,0,0,3.60349e+06,163795,0,0,0,1.71985e+07
14621726,5.07764e+06,0,0,5.89661e+06,0,0,0,0,1.09743e+07
14621740,7.04318e+06,0,0,6.71559e+06,0,0,0,0,1.37588e+07
14620826,3.93108e+06,0,0,4.58625e+06,0,0,327590,0,8.84492e+06
7243815,1.47415e+07,0,0,2.62072e+06,0,0,1.63795e+06,0,1.90002e+07
19167073,4.75005e+06,0,0,1.1138e+07,491384,0,327590,0,1.67071e+07
17239962,818974,163795,0,982769,1.76898e+07,0,0,0,1.96554e+07
17233716,1.67071e+07,0,0,1.80174e+07,0,0,327590,0,3.50521e+07
22248781,1.88364e+07,0,163795,491384,2.94831e+06,0,0,0,2.24399e+07
6597312,4.25866e+06,2.94831e+06,0,818974,5.07764e+06,0,0,0,1.31036e+07
6597270,2.32589e+07,1.14656e+06,327590,1.96554e+06,1.03191e+07,0,0,327590,3.73452e+07
22249293,8.84492e+06,818974,327590,818974,3.60349e+06,0,0,0,1.44139e+07
22248825,2.27675e+07,655179,163795,655179,8.51733e+06,0,0,0,3.2759e+07
17218398,0,0,655179,0,3.58711e+07,0,0,0,3.65262e+07
17219024,0,163795,0,0,2.42416e+07,0,0,0,2.44054e+07
19208055,0,0,0,1.21208e+07,0,0,163795,0,1.22846e+07
19208091,1.14656e+06,163795,0,2.3914e+07,0,0,491384,0,2.57158e+07
17543477,4.91384e+06,0,0,1.21208e+07,327590,0,1.80174e+06,0,1.9164e+07
11917353,2.45692e+06,0,0,6.388e+06,0,0,1.63795e+06,0,1.04829e+07
11916761,4.25866e+06,0,0,9.00871e+06,0,0,491384,0,1.37588e+07
5103900,1.80174e+06,163795,0,2.29313e+06,982769,0,6.388e+06,0,1.16294e+07
2528217,327590,0,0,327590,0,0,818974,0,1.47415e+06
14804137,1.80174e+06,2.12933e+06,491384,1.58881e+07,2.62072e+06,0,0,0,2.29313e+07
14803787,6.55179e+06,2.45692e+06,491384,9.00871e+06,327590,0,0,0,1.88364e+07
14803753,1.14656e+06,163795,0,1.47415e+06,163795,0,0,0,2.94831e+06
14803841,9.00871e+06,2.78451e+06,655179,1.80174e+07,327590,0,0,0,3.07934e+07
14803821,4.91384e+06,0,1.63795e+06,1.60519e+07,818974,0,0,0,2.34227e+07
14803819,1.31036e+06,0,0,5.56902e+06,1.31036e+06,0,0,0,8.18974e+06
7309893,1.31036e+06,0,0,1.53967e+07,1.67071e+07,0,163795,0,3.35779e+07
19207481,1.63795e+06,0,0,1.73622e+07,1.2776e+07,0,327590,0,3.21038e+07
17238880,6.388e+06,0,0,9.00871e+06,0,0,0,0,1.53967e+07
17238874,7.53456e+06,0,0,7.69836e+06,0,0,0,0,1.52329e+07
17239820,7.86215e+06,0,0,2.14571e+07,163795,0,163795,0,2.96469e+07
