HUC_12,FEATUREID
070801050305,6978914
070801050305,6978956
070801050303,6978868
070801050305,6978970
070801050303,6978840
070801050303,6978848
070801050303,6978830
070801050303,6978844
070801050305,6978910
070801050303,6978886
070801050307,6979028
071000040910,6597122
071000040707,6597572
071000040704,6599850
071000040707,6597602
071000040802,6597016
071000041001,6597654
071000041001,6597614
071000041001,6597620
071000040707,6599818
071000040707,6597570
071000041001,6597606
071000040910,6597498
071000040801,6596874
071000041001,6597632
071000040706,6595002
071000040905,6597998
071000040908,6598066
071000041001,6597616
071000040802,6596946
071000040801,6596894
071000040706,6595250
071000040908,6598060
071000040905,6596028
071000040707,6597578
071000040910,6597036
071000040707,6597582
071000040706,6595234
071000040706,6597564
071000041001,6597648
071000040911,6597252
071000040703,6595990
071000041001,6597652
071000040707,6597588
071000040802,6596972
071000040703,6594968
071000041001,6597636
071000040707,6597584
071000040707,6597452
071000040707,6597586
071000040706,6595236
071000040707,6597598
071000040704,6595216
071000041001,6597626
071000040704,6599848
071000040908,6598058
071000040907,6597062
071000040908,6598020
071000040906,6598028
071000040908,6596968
071000040908,6596982
071000040909,6598104
071000040903,6597992
071000040910,6597136
071000040908,6599772
071000040905,6596056
071000040910,6597066
071000040908,6598080
071000041001,6597476
071000040906,6598044
071000040902,6596048
071000040907,6597072
071000040908,6596932
071000040907,6598182
071000040706,6597428
071000040908,6596962
071000040911,6597204
071000040908,6598046
071000040911,6597192
071000040910,6597506
071000040703,6594980
071000040908,6598068
071000040906,6598000
071000040703,6594974
071000040705,6596878
071000040908,6598074
071000040908,6598070
071000040908,6596958
071000040703,6595984
071000040902,6596052
071000040910,6597510
071000040908,6597004
071000040907,6597042
071000040910,6597038
071000040907,6597046
071000040910,6597126
071000040908,6596964
071000040703,6596164
071000040910,6597108
071000040908,6599770
071000040909,6598102
071000040703,6595280
071000040906,6598036
071000040908,6596978
071000040906,6598010
071000040908,6596990
071000040911,6597180
071000040706,6594994
071000040908,6596976
071000040705,6597430
071000040906,6598016
071000040902,6596054
071000040907,6597106
071000040910,6597056
071000040706,6595254
071000040911,6597756
071000040910,6597482
071000040908,6596984
071000040706,6596862
071000040908,6596970
071000040706,6595080
071000040910,6597128
071000040910,6597168
071000040910,6597044
071000040910,6597060
071000040703,6595980
071000040904,6596038
071000040707,6597604
071000040907,6597496
071000040908,6596966
071000040910,6597224
071000040705,6597566
071000040908,6596980
071000040908,6596942
071000040911,6597182
071000040706,6595026
071000040908,6598072
071000040911,6597512
071000040910,6597052
071000040910,6597058
071000040911,6597184
071000040905,6597994
071000040911,6597226
071000040911,6597186
071000040905,6595994
071000040706,6595012
071000040902,6596044
071000040907,6597266
071000040904,6596070
071000040907,6598114
071000040910,6597074
071000040907,6597040
071000040910,6597112
071000040706,6595004
071000040905,6596066
071000040705,6596882
071000040906,6598030
071000040707,6596924
071000040909,6598110
071000040910,6597064
071000040908,6598048
071000040908,6598050
071000040910,6597090
071000040706,6595322
071000040911,6597200
071000040911,6597220
071000040910,6597154
071000040707,6596938
071000040908,6598056
071000040910,6597104
071000040908,6596986
071000040908,6596960
071000040906,6598038
071000040906,6598034
071000040909,6598096
071000040910,6597120
071000040906,6598040
071000040907,6598112
071000040907,6597130
071000040706,6594988
071000040910,6597124
071000040904,6597996
071000040911,6597750
071000040908,6598064
071000040910,6597082
071000040903,6596022
071000040910,6597216
071000040910,6597232
071000040908,6598052
071000040706,6595306
071000040910,6597084
071000040910,6597508
071000040909,6597006
071000040905,6596062
071000040910,6597248
071000040910,6597166
071000040903,6596014
071000040908,6598086
071000040906,6598008
071000040902,6596018
071000040910,6597222
071000040911,6597198
071000040703,6596004
071000040706,6595000
071000040911,6597202
071000040903,6596068
071000040911,6597268
071000040911,6597518
071000040909,6598180
071000040911,6597148
071000040910,6597144
071000040908,6598054
071000040908,6598082
071000040909,6598100
071000040908,6596934
071000040905,6597986
071000040706,6594984
071000040908,6596914
071000040705,6596884
071000040908,6598062
071000040911,6597146
071000040910,6597142
071000040907,6597256
071000040910,6597102
071000040908,6598078
071000040911,6597514
071000040908,6596988
071000040908,6598084
071000040911,6597516
071000040910,6597218
071000040910,6597110
071000040908,6596956
071000040909,6598108
071000040703,6596166
071000040908,6598022
071000040910,6597080
071000040902,6596032
071000040706,6595074
071000040906,6598026
071000041001,6597468
071000040907,6597070
071000040902,6596060
071000040911,6597262
071000040911,6597206
071000040704,6594970
071000041001,6596992
071000041001,6597008
071000040911,6597234
071000040907,6597170
071000041001,6597608
071000040907,6597068
071000040906,6598018
071000040906,6598014
071000040703,6595978
071000040901,6596042
071000040911,6597230
071000040707,6597448
071000040907,6598122
071000040902,6596036
071000040707,6597574
071000040706,6594996
071000041001,6597634
071000040703,6594978
071000040902,6596034
071000040901,6596050
071000040707,6597600
071000040906,6598006
071000040911,6597274
071000040907,6597048
071000040706,6595090
071000040909,6598098
071000040703,6595986
071000040706,6595244
071000040903,6596010
071000041001,6597622
071000040707,6596922
071000040911,6597210
071000040704,6599844
071000040707,6596916
071000041001,6597472
071000040911,6597314
071000040910,6597098
071000040707,6596926
071000040911,6597292
071000040903,6596016
071000040909,6598106
071000040905,6596064
071000041001,6597638
071000040911,6597236
071000040910,6597190
071000041001,6597492
071000040910,6597100
071000040907,6598118
071000041001,6597466
071000040705,6596896
071000040911,6597212
071000040907,6598116
071000041001,6597458
071000040902,6596008
071000040911,6597298
071000040910,6597228
071000040911,6597214
071000041001,6597660
071000040910,6597174
071000040910,6597504
071000040911,6597308
071000040905,6597988
071000040906,6596072
071000041001,6597022
071000040901,6596040
071000040911,6597534
071000040707,6597438
071000040903,6595998
071000040905,6595996
071000041001,6597474
071000040910,6597500
071000040905,6597990
071000040906,6598032
071000040909,6598094
071000040906,6598042
071000041001,6597488
071000040911,6597264
071000040909,6598090
071000040911,6597318
071000040903,6596012
071000040907,6597050
071000040911,6597242
071000040704,6594972
071000040707,6596900
071000040707,6596928
071000040706,6595076
071000040906,6598024
071000041001,6597618
071000040910,6597114
071000040901,6596026
071000040707,6596930
071000040902,6596046
071000040911,6597686
071000040703,6596168
071000040911,6597254
071000040910,6597172
071000040911,6597290
071000040906,6598012
071000040705,6596876
071000040910,6597164
071000040707,6596886
071000040707,6596918
071000040908,6598076
071000040703,6594976
071000040907,6598120
071000040902,6596058
071000040910,6597176
071000041001,6597752
071000040704,6595210
071000040703,6596006
071000040909,6598092
071000040803,6597628
071000041001,6597470
071000040707,6597592
071000040706,6595224
071000041001,6597030
071000040707,6596920
071000040707,6596890
071000040705,6596880
071000040903,6596024
071000040911,6597754
071000040703,6595982
071000040907,6597244
071000040902,6596020
071000040903,6595992
071000040910,6597502
071000040911,6597780
071000040911,6597240
071000040906,6598002
071000040703,6596002
071000040706,6595296
071000040907,6597076
071000040706,6595082
071000040706,6599762
071000040707,6597436
071000040706,6595070
071000041001,6597024
071000040706,6595252
071000041001,6597462
071000040704,6595212
071000040706,6595084
071000040704,6595226
071000041001,6597650
071000040706,6594986
071000040706,6595016
071000040801,6596872
071000040706,6594982
071000040707,6597762
071000041001,6597478
071000041001,6597664
071000041001,6597010
071000040907,6597118
071000040704,6595336
071000040706,6599852
071000040704,6595222
071000040706,6596860
071000040706,6595292
071000040706,6595310
071000041001,6597486
071000040910,6597132
071000040706,6599766
071000041001,6597484
071000040907,6599776
071000040706,6595088
071000040706,6595248
071000040911,6597194
071000040704,6595272
071000040706,6597554
071000040706,6595302
071000040706,6595018
071000040704,6594956
071000040706,6595014
071000040706,6595006
071000040801,6595010
071000040706,6595078
071000041001,6597480
071000040907,6597138
071000041001,6597014
071000040706,6595314
071000041001,6597662
071000040707,6597580
071000040801,6597630
071000040704,6595276
071000040706,6594998
071000040707,6596948
071000040706,6597556
071000041001,6597002
071000040706,6595024
071000040706,6595072
071000040704,6595278
071000040706,6595232
071000040801,6594992
071000040707,6597440
071000040704,6594964
071000040704,6599846
071000040704,6595066
071000041001,6597658
071000040704,6594962
071000040907,6597160
071000041001,6597020
071000041001,6597054
071000040706,6595020
071000040707,6597432
071000040706,6595230
071000040801,6595008
071000040706,6595022
071000040802,6596974
071000040801,6595028
071000041001,6597612
071000041001,6597666
071000040704,6595330
071000040706,6595320
071000040707,6596898
071000040707,6596904
071000040706,6597558
071000040802,6596944
071000040910,6597116
071000040907,6599774
071000041001,6597000
071000040801,6596868
071000040707,6597434
071000040706,6595228
071000040706,6594990
071000040706,6596866
071000040706,6595086
071000041001,6597610
071000041001,6597464
071000040703,6595068
071000040707,6597442
071000040706,6595318
071000040707,6596902
071000040706,6595332
071000040707,6596888
071000040706,6595304
071000040910,6597088
071000040706,6595312
071000040706,6595246
071000040707,6596906
071000040706,6595308
071000040801,6596870
